Time,GMSL
07-1918,-112.1
08-1918,-113.6
09-1918,-109.9
10-1918,-112
11-1918,-111.8
12-1918,-116.4
01-1919,-118.1
02-1919,-119.9
03-1919,-118.3
04-1919,-115.4
05-1919,-112.7
06-1919,-106.2
07-1919,-107
08-1919,-103.5
09-1919,-105.2
10-1919,-108.5
11-1919,-109.9
12-1919,-114.4
01-1920,-114.9
02-1920,-116.9
03-1920,-116.2
04-1920,-112.1
05-1920,-107.4
06-1920,-103.6
07-1920,-103.2
08-1920,-106
09-1920,-109.6
10-1920,-110.8
11-1920,-112.2
12-1920,-110.1
01-1921,-110
02-1921,-106.9
03-1921,-105.5
04-1921,-104.1
05-1921,-102.1
06-1921,-103.5
07-1921,-105.1
08-1921,-111.3
09-1921,-114.2
10-1921,-113.1
11-1921,-113.6
12-1921,-109.4
01-1922,-111
02-1922,-106.7
03-1922,-108
04-1922,-107
05-1922,-105.9
06-1922,-106.2
07-1922,-111.3
08-1922,-114.7
09-1922,-116.4
10-1922,-112.5
11-1922,-106.6
12-1922,-103.2
01-1923,-104.6
02-1923,-109.2
03-1923,-107.9
04-1923,-103.6
05-1923,-99.3
06-1923,-101.9
07-1923,-107.5
08-1923,-110.5
09-1923,-110.5
10-1923,-109.7
11-1923,-113.9
12-1923,-116.7
01-1924,-118
02-1924,-112.7
03-1924,-113.4
04-1924,-111.8
05-1924,-115.2
06-1924,-115.3
07-1924,-116.8
08-1924,-116.1
09-1924,-115.6
10-1924,-115.7
11-1924,-117
12-1924,-115.2
01-1925,-112.3
02-1925,-110.6
03-1925,-112.5
04-1925,-115.3
05-1925,-114.8
06-1925,-115
07-1925,-115.3
08-1925,-116.3
09-1925,-115
10-1925,-112.9
11-1925,-110.9
12-1925,-107.4
01-1926,-111.3
02-1926,-112.2
03-1926,-115.4
04-1926,-112.3
05-1926,-110.3
06-1926,-107.7
07-1926,-104.5
08-1926,-97.9
09-1926,-97.2
10-1926,-96.3
11-1926,-105.8
12-1926,-109.4
01-1927,-113.4
02-1927,-109.1
03-1927,-107.2
04-1927,-104.9
05-1927,-105.3
06-1927,-104.5
07-1927,-106.3
08-1927,-103.7
09-1927,-109.6
10-1927,-106.9
11-1927,-110.7
12-1927,-111.5
01-1928,-117.7
02-1928,-117.6
03-1928,-115.7
04-1928,-110.4
05-1928,-108.9
06-1928,-106.3
07-1928,-106
08-1928,-105.6
09-1928,-106.1
10-1928,-111.2
11-1928,-115.6
12-1928,-118.7
01-1929,-120.8
02-1929,-115.8
03-1929,-113.3
04-1929,-107.4
05-1929,-109.9
06-1929,-106.1
07-1929,-106
08-1929,-106.4
09-1929,-107
10-1929,-109.4
11-1929,-109.2
12-1929,-112.1
01-1930,-110.8
02-1930,-112.3
03-1930,-112.3
04-1930,-114.3
05-1930,-112.7
06-1930,-105.7
07-1930,-98.2
08-1930,-96.1
09-1930,-98.5
10-1930,-101.5
11-1930,-105.6
12-1930,-107.8
01-1931,-106.9
02-1931,-109.1
03-1931,-106.6
04-1931,-108.5
05-1931,-106.4
06-1931,-105.9
07-1931,-101.9
08-1931,-103.7
09-1931,-106
10-1931,-109
11-1931,-109.9
12-1931,-106.5
01-1932,-104.1
02-1932,-100.8
03-1932,-101.8
04-1932,-100.5
05-1932,-102.2
06-1932,-102.3
07-1932,-101.5
08-1932,-102.9
09-1932,-100.3
10-1932,-100.7
11-1932,-98.2
12-1932,-97.1
01-1933,-93.8
02-1933,-93
03-1933,-92.4
04-1933,-92.6
05-1933,-95.2
06-1933,-94.5
07-1933,-99
08-1933,-97.7
09-1933,-99
10-1933,-98.7
11-1933,-102.2
12-1933,-102.2
01-1934,-101.5
02-1934,-99.1
03-1934,-96.7
04-1934,-97.8
05-1934,-98.7
06-1934,-102.7
07-1934,-103.3
08-1934,-107.3
09-1934,-105.8
10-1934,-108.5
11-1934,-102.6
12-1934,-100.5
01-1935,-95.5
02-1935,-93.3
03-1935,-92.9
04-1935,-91.7
05-1935,-95
06-1935,-94.3
07-1935,-95.3
08-1935,-96.1
09-1935,-98.4
10-1935,-101.3
